base_var, ray_var, working_set_ratio, num_stages, object_store_size,object_size,baseline_pipeline,ray_pipeline
0.0,0.0,1,1,1000000000,10000000,0.8054875829839148,0.37274864298524335
0.0,0.0,1,1,1000000000,20000000,0.8189374399953522,0.33909733398468234
0.0,0.0,1,1,1000000000,40000000,0.7579128340003081,0.32446830699336715
0.0,0.0,1,1,1000000000,80000000,0.7529752849950455,0.39199903700500727
0.0,0.0,1,1,1000000000,160000000,0.8595251590013504,0.28318988101091236
0.0,0.0,1,1,4000000000,10000000,1.2287419749773107,1.3498416040092707
0.0,0.0,1,1,4000000000,20000000,1.2816652839828748,1.4514245009922888
0.0,0.0,1,1,4000000000,40000000,1.9225037540018093,1.682016716018552
0.0,0.0,1,1,4000000000,80000000,1.6693897630029824,1.647547400003532
0.0,0.0,1,1,4000000000,160000000,1.2122172880044673,1.4867775340098888
0.0,0.0,2,1,1000000000,10000000,0.6726518229988869,2.8240794420125894
0.0,0.0,2,1,1000000000,20000000,0.656991953990655,2.77465644601034
0.0,0.0,2,1,1000000000,40000000,0.8612318619852886,0.8770752199925482
0.0,0.0,2,1,1000000000,80000000,0.6813544340257067,0.7643707619863562
0.0,0.0,2,1,1000000000,160000000,0.6578438509895932,0.7851441509847064
0.0,0.0,2,1,4000000000,10000000,2.5581771830038633,2.5492217949940823
0.0,0.0,2,1,4000000000,20000000,2.9095154289971106,2.886199733009562
0.0,0.0,2,1,4000000000,40000000,3.48719597197487,3.3746431790059432
0.0,0.0,2,1,4000000000,80000000,3.240357861999655,3.340996112994617
0.0,0.0,2,1,4000000000,160000000,3.3250621180050075,3.285442972992314
0.0,0.0,4,1,1000000000,10000000,1.3359118110092822,3.4111342010146473
0.0,0.0,4,1,1000000000,20000000,1.4097329289943445,3.5009731719910633
0.0,0.0,4,1,1000000000,40000000,1.6225145060161594,3.9300723490014207
0.0,0.0,4,1,1000000000,80000000,1.3574914740165696,3.8399240290164016
0.0,0.0,4,1,1000000000,160000000,1.331464683986269,2.9783535930037033
0.0,0.0,4,1,4000000000,10000000,5.482800144003704,22.20815862400923
0.0,0.0,4,1,4000000000,20000000,5.854004151013214,21.105181761988206
0.0,0.0,4,1,4000000000,40000000,6.852634868002497,22.140039460995467
0.0,0.0,4,1,4000000000,80000000,6.609095821011579,22.309763508004835
0.0,0.0,4,1,4000000000,160000000,6.47395794998738,23.459883468982298
0.0,0.0,8,1,1000000000,10000000,2.594324436999159,6.791892342997016
0.0,0.0,8,1,1000000000,20000000,2.731376655981876,3.10361556999851
0.0,0.0,8,1,1000000000,40000000,3.1998066990054213,3.5638723029987887
0.0,0.0,8,1,1000000000,80000000,2.9653882140119094,8.330993760988349
0.0,0.0,8,1,1000000000,160000000,2.2251377520151436,3.411436694994336
0.0,0.0,8,1,4000000000,10000000,10.926752446015598,134.28702670501661
0.0,0.0,8,1,4000000000,20000000,11.801754428975983,135.01096891699126
0.0,0.0,8,1,4000000000,40000000,13.519060051010456,135.3599409990129
0.0,0.0,8,1,4000000000,80000000,13.197311931988224,135.08965913500288
0.0,0.0,8,1,4000000000,160000000,13.072351840004558,136.7682913049939
