gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,disable_stream,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,eviction_400K_360K_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,59.6734,1000,16.7579,29820.6218,1708.8517,161.7109,163.4965,114.9492,666.4935,21.3436,21.2831,3.6607,30.6871,21.3891,0.0147,29.8813,101.9235,2319.6848,2275.6297
No eviction:
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking,pow_of_2,10,200,40,100,False,False,False,10000,1000,65.8401,1000,15.1883,27027.5694,1548.7977,192.5306,164.6884,119.9087,665.5067,23.9633,23.442,5.7019,43.695,23.5289,0.0159,32.0885,104.1568,2565.9759,2518.2592
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking,pow_of_2,10,200,40,100,False,False,False,10000,1000,66.0445,1000,15.1413,26943.9237,1544.0044,195.3247,164.3067,118.2495,714.4237,23.9553,23.32,5.5907,41.49,23.5558,0.0158,32.4998,105.0669,2571.828,2557.8511
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,56.0944,1000,17.8271,31723.2945,1817.8832,133.2905,113.8454,107.7765,671.7209,20.193,19.6097,3.5127,28.575,20.2583,0.0152,28.0741,101.3613,2177.0858,2128.836
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,56.7022,1000,17.636,31383.2172,1798.3953,140.047,115.0834,109.4702,666.6733,20.4316,20.0977,3.5334,31.0103,20.4396,0.0152,28.8345,101.4479,2202.3098,2141.7281
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking_replicate_vllmV0_active_probing_rewritten_benchmark,prefix_aware,10,200,40,100,False,False,False,10000,1000,57.2181,1000,17.477,31100.287,1782.1821,137.2,115.1452,109.2121,715.412,20.5728,20.1233,2.9852,29.6848,20.6468,0.0155,28.4967,101.5963,2220.0676,2158.0532
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking_replicate_vllmV0_active_probing_rewritten_benchmark,prefix_aware,10,200,40,100,False,False,False,10000,1000,57.8561,1000,17.2843,30757.3139,1762.5283,141.4689,116.5451,110.8986,669.3319,20.7784,20.486,3.2753,29.5251,20.8,0.016,28.4179,101.5513,2240.1077,2151.47
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking_replicate_vllmV0_no_probing_rewritten_benchmark,prefix_aware,10,200,40,100,False,False,False,10000,1000,57.444,1000,17.4082,30977.9371,1775.171,139.9528,115.5865,109.7506,668.4917,20.7163,20.4101,3.0816,29.1232,20.743,0.0158,28.4612,101.6504,2232.6429,2143.407
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking_replicate_vllmV0_no_probing_rewritten_benchmark,prefix_aware,10,200,40,100,False,False,False,10000,1000,56.9592,1000,17.5564,31241.6153,1790.2809,141.2232,114.916,115.3837,669.4781,20.505,19.8306,3.6991,30.9911,20.5122,0.0157,28.8667,101.7464,2210.8879,2133.2623
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking_replicate_vllmV0_no_probing_rewritten_benchmark,prefix_aware,10,200,40,100,False,False,False,10000,1000,56.9455,1000,17.5607,31249.1525,1790.7128,140.788,115.946,112.2873,686.1156,20.4557,19.8631,3.0676,28.8044,20.517,0.0157,28.6786,101.3995,2210.9858,2162.7849
