========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
70       OK       35.18 ± 2.89 (30.58-40.81)    1989.8          523.2        7.5       1.1%
71       OK       36.79 ± 4.78 (31.44-48.53)    1929.7          529.3        7.5       1.1%
72       OK       36.80 ± 4.30 (32.60-48.12)    1956.3          535.6        7.4       1.1%
73       OK       37.13 ± 3.26 (33.71-44.40)    1965.9          540.8        7.4       1.1%
74       OK       37.52 ± 5.56 (34.45-53.73)    1972.1          546.9        7.4       1.1%
75       OK       37.77 ± 3.71 (35.13-47.44)    1985.9          553.0        7.4       1.1%
76       OK       38.93 ± 4.21 (35.29-50.46)    1952.2          558.4        7.3       1.1%
77       OK       39.81 ± 6.36 (34.27-56.82)    1934.4          564.0        7.3       1.2%
78       OK       38.86 ± 3.83 (34.54-46.33)    2007.3          571.3        7.3       1.2%
79       OK       39.11 ± 2.61 (35.55-43.28)    2019.7          577.0        7.3       1.2%
80       OK       39.70 ± 2.78 (36.39-44.90)    2014.9          582.1        7.3       1.2%
81       OK       40.82 ± 3.69 (35.50-48.57)    1984.5          587.7        7.3       1.2%
82       OK       40.79 ± 4.30 (35.97-50.77)    2010.5          595.0        7.3       1.2%
83       OK       41.77 ± 3.06 (36.74-46.00)    1987.2          600.8        7.2       1.2%
84       OK       41.79 ± 2.83 (38.03-45.78)    2010.0          605.5        7.2       1.2%
85       OK       42.10 ± 2.68 (39.22-46.51)    2019.2          612.2        7.2       1.3%
86       OK       42.93 ± 2.95 (38.75-47.08)    2003.5          618.7        7.2       1.3%
87       OK       43.77 ± 4.04 (39.40-52.99)    1987.5          624.3        7.2       1.3%
88       OK       43.42 ± 2.21 (40.14-46.81)    2026.6          629.2        7.2       1.3%
89       OK       44.86 ± 3.06 (40.13-48.93)    1983.9          636.0        7.1       1.3%
90       OK       43.91 ± 2.58 (40.38-48.72)    2049.5          641.6        7.1       1.3%
91       OK       46.33 ± 5.77 (41.10-61.49)    1964.3          648.7        7.1       1.3%
92       OK       46.53 ± 4.02 (40.95-55.67)    1977.2          653.6        7.1       1.3%
93       OK       46.60 ± 4.01 (41.96-55.11)    1995.6          659.9        7.1       1.4%
94       OK       46.49 ± 4.12 (41.76-55.87)    2022.0          665.0        7.1       1.4%
95       OK       46.95 ± 2.77 (43.52-52.24)    2023.6          671.3        7.1       1.4%
96       OK       47.06 ± 2.59 (43.77-51.81)    2040.1          678.6        7.1       1.4%
97       OK       47.41 ± 2.96 (44.72-52.13)    2045.9          682.9        7.0       1.4%
98       OK       48.55 ± 4.10 (44.01-57.69)    2018.6          689.5        7.0       1.4%
99       OK       49.68 ± 3.95 (45.41-57.25)    1992.9          695.5        7.0       1.4%
100      OK       48.17 ± 3.41 (43.91-53.55)    2075.9          703.1        7.0       1.4%
101      OK       48.36 ± 2.68 (45.38-53.52)    2088.5          706.4        7.0       1.5%
102      OK       49.89 ± 3.09 (46.09-55.11)    2044.5          712.3        7.0       1.5%
103      OK       50.09 ± 2.95 (46.63-54.80)    2056.3          719.6        7.0       1.5%
104      OK       50.31 ± 3.15 (45.84-55.39)    2067.3          725.9        7.0       1.5%
105      OK       49.72 ± 2.55 (46.68-54.57)    2111.7          730.9        7.0       1.5%
106      OK       50.44 ± 2.97 (46.35-55.92)    2101.3          736.6        6.9       1.5%
107      OK       51.16 ± 2.95 (47.33-56.39)    2091.4          742.9        6.9       1.5%
108      OK       51.57 ± 2.73 (47.54-55.71)    2094.2          748.5        6.9       1.5%
109      OK       52.32 ± 3.21 (49.37-57.84)    2083.4          753.8        6.9       1.5%
110      OK       53.42 ± 2.92 (49.96-58.53)    2059.1          760.6        6.9       1.6%
111      OK       53.65 ± 3.02 (50.49-58.80)    2069.1          766.0        6.9       1.6%
112      OK       53.71 ± 3.43 (49.59-59.18)    2085.2          772.9        6.9       1.6%
113      OK       54.50 ± 2.87 (50.54-60.09)    2073.4          779.0        6.9       1.6%
114      OK       54.67 ± 3.05 (51.36-59.73)    2085.4          784.2        6.9       1.6%
115      OK       55.42 ± 2.95 (51.68-60.81)    2075.2          789.4        6.9       1.6%
116      OK       55.86 ± 3.07 (51.59-60.96)    2076.7          795.7        6.9       1.6%
117      OK       56.19 ± 3.33 (51.79-61.91)    2082.4          802.9        6.9       1.6%
118      OK       56.31 ± 3.66 (52.04-62.98)    2095.5          808.4        6.9       1.7%
119      OK       56.98 ± 3.38 (53.49-62.79)    2088.5          813.8        6.8       1.7%
120      OK       58.15 ± 3.34 (54.35-64.39)    2063.5          819.7        6.8       1.7%
121      OK       58.21 ± 3.23 (54.58-64.24)    2078.7          826.3        6.8       1.7%
122      OK       50.46 ± 0.29 (49.95-51.00)    2417.6          831.0        6.8       1.7%
123      OK       50.59 ± 0.27 (50.24-51.26)    2431.4          836.9        6.8       1.7%
124      OK       50.96 ± 0.25 (50.51-51.31)    2433.2          843.7        6.8       1.7%
125      OK       51.22 ± 0.23 (50.75-51.53)    2440.4          850.5        6.8       1.7%
126      OK       51.77 ± 0.48 (51.11-52.71)    2433.9          855.3        6.8       1.8%
127      OK       52.66 ± 0.24 (52.09-52.94)    2411.8          860.9        6.8       1.8%
128      OK       53.10 ± 0.22 (52.82-53.56)    2410.7          867.1        6.8       1.8%
129      OK       53.11 ± 0.17 (52.89-53.54)    2429.1          873.0        6.8       1.8%
130      OK       53.45 ± 0.16 (53.19-53.62)    2432.1          879.4        6.8       1.8%
131      OK       54.10 ± 0.34 (53.44-54.69)    2421.6          885.1        6.8       1.8%
132      OK       54.39 ± 0.19 (54.11-54.75)    2426.9          891.3        6.8       1.8%
133      OK       55.09 ± 0.33 (54.64-55.69)    2414.4          897.1        6.7       1.8%
134      OK       57.15 ± 3.22 (55.71-66.76)    2344.7          903.2        6.7       1.9%
135      OK       57.38 ± 2.25 (56.11-63.82)    2352.6          908.6        6.7       1.9%
136      OK       57.80 ± 3.10 (56.26-66.74)    2352.9          914.0        6.7       1.9%
137      OK       58.63 ± 3.68 (56.37-68.92)    2336.5          920.2        6.7       1.9%
138      OK       59.39 ± 3.54 (57.58-69.66)    2323.8          927.3        6.7       1.9%
139      OK       59.54 ± 3.36 (58.17-69.57)    2334.7          932.7        6.7       1.9%
140      OK       59.38 ± 3.13 (57.97-68.76)    2357.8          938.2        6.7       1.9%
141      OK       60.07 ± 3.51 (58.26-70.47)    2347.4          943.9        6.7       1.9%
142      OK       60.32 ± 3.42 (58.88-70.54)    2354.2          950.7        6.7       2.0%
143      OK       60.48 ± 3.51 (58.69-70.91)    2364.4          955.6        6.7       2.0%
144      OK       61.21 ± 3.55 (59.32-71.28)    2352.5          961.5        6.7       2.0%
145      OK       61.38 ± 3.06 (59.96-70.54)    2362.3          969.1        6.7       2.0%
146      OK       61.79 ± 3.40 (60.09-71.94)    2362.9          974.6        6.7       2.0%
147      OK       62.35 ± 3.47 (60.92-72.75)    2357.6          980.6        6.7       2.0%
148      OK       62.73 ± 3.38 (61.22-72.78)    2359.4          985.3        6.7       2.0%
149      OK       62.88 ± 3.30 (61.18-72.72)    2369.6          991.6        6.7       2.0%
150      OK       74.19 ± 3.88 (68.97-80.24)    2021.7          997.4        6.6       2.0%
151      OK       74.32 ± 6.85 (68.63-87.00)    2031.8         1003.8        6.6       2.1%
152      OK       75.94 ± 8.04 (69.06-94.20)    2001.5         1010.6        6.6       2.1%
153      OK       76.61 ± 8.25 (69.82-94.17)    1997.1         1015.6        6.6       2.1%
154      OK       76.06 ± 4.64 (71.27-86.13)    2024.6         1021.3        6.6       2.1%
155      OK       76.91 ± 4.46 (71.37-83.70)    2015.3         1028.4        6.6       2.1%
156      OK       77.21 ± 7.24 (71.13-94.34)    2020.5         1033.1        6.6       2.1%
157      OK       77.96 ± 4.78 (71.48-84.95)    2014.0         1038.6        6.6       2.1%
158      OK       79.04 ± 7.89 (72.19-96.99)    1999.1         1044.6        6.6       2.1%
159      OK       78.38 ± 5.34 (72.78-90.63)    2028.5         1052.5        6.6       2.2%
160      OK       79.12 ± 4.25 (73.50-84.84)    2022.2         1058.1        6.6       2.2%
161      OK       79.48 ± 5.54 (73.10-91.20)    2025.6         1062.6        6.6       2.2%
162      OK       79.56 ± 5.82 (73.32-92.43)    2036.2         1069.3        6.6       2.2%
163      OK       80.30 ± 7.11 (73.65-97.96)    2029.9         1075.0        6.6       2.2%
164      OK       80.73 ± 7.50 (74.49-96.68)    2031.5         1081.0        6.6       2.2%
165      OK       81.54 ± 5.42 (76.58-94.73)    2023.6         1086.1        6.6       2.2%
166      OK       81.61 ± 5.29 (76.90-94.46)    2034.1         1093.4        6.6       2.2%
167      OK       82.04 ± 5.50 (76.79-94.82)    2035.6         1098.8        6.6       2.3%
168      OK       82.89 ± 5.71 (77.04-95.77)    2026.7         1104.8        6.6       2.3%
169      OK       84.59 ± 6.50 (77.78-99.95)    1997.8         1110.8        6.6       2.3%
170      OK       85.09 ± 6.29 (78.93-99.13)    1997.8         1116.2        6.6       2.3%
171      OK       85.12 ± 5.36 (78.97-96.53)    2008.8         1121.9        6.6       2.3%
172      OK       84.94 ± 4.09 (79.61-90.64)    2025.0         1129.2        6.6       2.3%
173      OK       85.15 ± 4.18 (79.41-90.98)    2031.7         1134.9        6.6       2.3%
174      OK       85.32 ± 4.71 (79.92-95.49)    2039.4         1139.9        6.6       2.3%
175      OK       85.54 ± 5.87 (79.85-99.73)    2045.8         1145.5        6.5       2.4%
176      OK       87.10 ± 4.27 (81.10-95.05)    2020.6         1152.8        6.6       2.4%
177      OK       87.50 ± 5.37 (81.92-99.65)    2022.8         1158.6        6.5       2.4%
178      OK       87.33 ± 4.09 (81.77-93.56)    2038.3         1163.2        6.5       2.4%
179      OK       88.31 ± 4.85 (82.05-96.02)    2027.0         1170.0        6.5       2.4%
180      OK       87.28 ± 4.89 (82.09-98.59)    2062.2         1176.7        6.5       2.4%
181      OK       89.34 ± 3.59 (83.91-95.69)    2026.0         1182.2        6.5       2.4%
182      OK       89.21 ± 6.52 (83.57-105.80)    2040.1         1187.0        6.5       2.4%
183      OK       90.41 ± 5.08 (83.65-96.22)    2024.2         1193.8        6.5       2.5%
184      OK       90.53 ± 6.41 (83.79-106.05)    2032.5         1199.4        6.5       2.5%
185      OK       90.89 ± 3.71 (87.62-101.40)    2035.4         1205.5        6.5       2.5%
186      OK       90.68 ± 4.85 (86.56-104.72)    2051.1         1211.5        6.5       2.5%
187      OK       90.70 ± 4.19 (86.20-101.49)    2061.7         1217.7        6.5       2.5%
188      OK       91.90 ± 4.00 (89.17-103.27)    2045.8         1222.9        6.5       2.5%
189      OK       91.51 ± 3.38 (87.84-100.85)    2065.5         1229.1        6.5       2.5%
190      OK       92.40 ± 4.90 (87.66-106.20)    2056.2         1235.3        6.5       2.5%
191      OK       93.17 ± 6.98 (86.53-109.85)    2049.9         1240.7        6.5       2.5%
192      OK       94.37 ± 4.36 (89.92-103.68)    2034.5         1247.3        6.5       2.6%
193      OK       95.32 ± 5.33 (91.67-106.54)    2024.7         1253.4        6.5       2.6%
194      OK       94.75 ± 4.47 (88.70-102.43)    2047.6         1260.1        6.5       2.6%
195      OK       83.11 ± 4.59 (80.35-92.69)    2346.3         1264.2        6.5       2.6%
