batch_size,status,avg_latency_ms,std_latency_ms,throughput,throughput_efficiency,peak_memory_mb,memory_per_sample_mb,memory_utilization
1,success,13.885523223876953,1.0795024837007139,72.01745183648843,72.01745183648843,135.02880859375,135.02880859375,0.2774388785513589
2,success,13.825481605529784,1.1325873907603778,144.66042175341357,72.33021087670679,136.720703125,68.3603515625,0.28091515392004274
3,success,13.91602544784546,1.2365887896402523,215.57879519863002,71.85959839954334,138.41259765625,46.137532552083336,0.28439142928872657
4,success,13.931779193878175,1.1694582335531443,287.11336465608485,71.77834116402121,141.67919921875,35.4197998046875,0.2911031990481767
5,success,13.93699836730957,1.2514029122683423,358.7573068622818,71.75146137245636,152.9658203125,30.5931640625,0.3142934169838555
6,success,13.937183856964111,1.2122918361883075,430.50303860359344,71.75050643393224,164.5712890625,27.428548177083332,0.33813875983028474
7,success,14.150899314880371,1.3023229418192317,494.6682075985908,70.66688679979869,176.2353515625,25.176478794642858,0.3621044931656727
8,success,13.826047992706298,1.2376903963268333,578.6179828263482,72.32724785329353,189.5166015625,23.6895751953125,0.38939300399632215
9,success,13.918499183654784,1.3092922604406243,646.6214410939627,71.84682678821808,199.55029296875,22.172254774305557,0.410008871976433
10,success,13.914835262298585,1.3056861131983482,718.6574480758966,71.86574480758966,210.80029296875,21.080029296875,0.43312384585651253
11,success,14.13671350479126,1.3019997000009949,778.1157902274701,70.73779911158819,223.23779296875,20.29434481534091,0.458678733646156
12,success,14.931568050384522,0.9858063026550169,803.6664307129466,66.97220255941222,234.17529296875,19.514607747395832,0.4811516249184555
13,success,16.046697521209715,0.717849523583057,810.1355423953904,62.31811864579926,248.0283203125,19.0791015625,0.5096149462705274
14,success,16.959270477294922,0.36662733720378776,825.5072067364694,58.96480048117638,260.4541015625,18.603864397321427,0.5351457559623791
15,success,17.987859153747557,0.13791589502815096,833.8957889202134,55.59305259468089,271.4033203125,18.0935546875,0.5576427253324703
16,success,18.625417518615723,0.18159350962628398,859.0411454673877,53.69007159171173,283.0908203125,17.69317626953125,0.5816566148634419
17,success,19.856383895874025,0.17658381365637985,856.1478308007756,50.361637105927976,294.4345703125,17.31968060661765,0.6049642135258554
18,success,20.919062232971193,0.14832583821151543,860.4592213330496,47.80329007405831,305.05029296875,16.94723849826389,0.6267759603629565
19,success,21.980774116516113,0.10058502237447767,864.3917588745707,45.49430309866161,316.86279296875,16.67698910361842,0.6510466829370399
20,success,22.508518409729003,0.1134533630653069,888.5524864824185,44.42762432412093,329.92529296875,16.4962646484375,0.6778857359422433
21,success,23.824870681762697,0.09400051270597588,881.4318566721514,41.972945555816736,341.15576171875,16.24551246279762,0.7009605796593367
22,success,24.936627197265626,0.10199829967647049,882.2363917126837,40.10165416875835,353.17529296875,16.053422407670453,0.7256566819610744
23,success,25.88139533996582,0.07628888820100234,888.6692428241535,38.63779316626754,365.7158203125,15.900687839673912,0.7514232563604702
24,success,26.47285442352295,0.10068310237271272,906.5890521678823,37.77454384032843,378.3408203125,15.764200846354166,0.7773633937147818
25,success,27.860476875305174,0.0559393666931043,897.3285027349755,35.89314010939902,388.8408203125,15.5536328125,0.7989373693361893
26,success,28.839628601074217,0.08683856138521993,901.5372687230637,34.67451033550245,400.3291015625,15.39727313701923,0.8225419312047011
27,success,29.80526065826416,0.08921470970371459,905.8803514443904,33.55112412757001,413.55029296875,15.31667751736111,0.8497070417841679
28,success,30.375635147094727,0.06387074095670094,921.7914247524157,32.92112231258627,424.12451171875,15.147303989955358,0.871433512024923
29,success,31.930560493469237,0.0691813211078976,908.2208251850567,31.317959489139888,435.11279296875,15.003889412715518,0.8940107417209868
30,success,33.19877738952637,0.07606318977615589,903.6477352164321,30.12159117388107,448.12451171875,14.937483723958334,0.9207454563024261
31,success,33.825469207763675,0.039042961322825226,916.4691791735687,29.563521908824796,458.61279296875,14.793961063508064,0.9422953538260418
32,success,34.93898506164551,0.12421609541938669,915.8823573020213,28.621323665688166,472.0908203125,14.752838134765625,0.9699881760487777
33,success,35.94443817138672,0.07371238895372878,918.083622357725,27.820715829021967,484.4228515625,14.679480350378787,0.9953263609582954
34,success,37.36826591491699,0.026165940376170014,909.8629322916369,26.76067447916579,495.4658203125,14.572524126838236,1.0180159551107208
35,success,37.911417388916014,0.02364198798684344,923.204733839173,26.377278109690657,507.1533203125,14.490094866071429,1.0420298446416922
36,success,38.81275825500488,0.05658836579726703,927.5300601795757,25.764723893877104,518.17529296875,14.393758138020834,1.0646762988689071
37,success,39.89542694091797,0.04767549086168384,927.4245906628378,25.065529477373993,529.48779296875,14.310480891047296,1.0879196892705427
38,success,41.30824012756348,0.046166870275194755,919.9133122750487,24.208245059869704,541.30029296875,14.24474455180921,1.1121904118446264
39,success,42.28249282836914,0.07634473046526111,922.3675661297156,23.65045041358245,554.05029296875,14.206417768429487,1.1383873822420498
40,success,42.676937866210935,0.10467740201076557,937.2743687796219,23.431859219490548,567.49951171875,14.18748779296875,1.166021012474381
41,success,44.27601280212402,0.03768427482345509,926.0093085444481,22.585592891328,578.4228515625,14.107874428353659,1.1884648093785155
42,success,45.173970794677736,0.08257140743894138,929.7389461487924,22.136641574971247,589.8408203125,14.043829055059524,1.2119249026602767
