batch_size,status,avg_latency_ms,std_latency_ms,throughput,throughput_efficiency,peak_memory_mb,memory_per_sample_mb,memory_utilization
1,success,34.18849639892578,4.31580510379694,29.24960455504035,29.24960455504035,10583.03369140625,10583.03369140625,21.744581986565066
2,success,45.08519744873047,0.34581348960373137,44.36045782597137,22.180228912985687,10591.322265625,5295.6611328125,21.761612224482352
3,success,49.53812141418457,0.34123597175323345,60.55942200385884,20.186474001286282,10600.62451171875,3533.54150390625,21.780725217858627
4,success,65.24681091308594,0.17577441361167,61.305678300941416,15.326419575235354,10610.59423828125,2652.6485595703125,21.80120965955496
5,success,73.92620849609375,0.2320756489999039,67.63501201693848,13.527002403387694,10649.779296875,2129.955859375,21.8817218023002
6,success,76.90167999267578,0.6132743926940525,78.02170252420295,13.003617087367159,10631.50048828125,1771.916748046875,21.84416498601544
7,success,86.61625595092774,0.6345124290686323,80.81623851261634,11.545176930373762,10681.1005859375,1525.8715122767858,21.946076538173095
8,success,104.4780059814453,0.6995554217271104,76.57113978056543,9.571392472570679,10657.630859375,1332.203857421875,21.89785412782067
9,success,111.75537796020508,1.2962739882937382,80.53303710542508,8.94811523393612,10719.22998046875,1191.0255533854167,22.024419645608926
10,success,121.79086608886719,1.3254874528817517,82.10796360297903,8.210796360297902,10814.1552734375,1081.41552734375,22.219459260500617
11,success,128.1175407409668,1.6264793682761483,85.85865710800867,7.805332464364425,10682.708984375,971.1553622159091,21.949381257095013
12,success,131.00605163574218,1.896753747528937,91.59882196408444,7.633235163673703,10694.17822265625,891.1815185546875,21.972946692054613
13,success,138.44568939208983,1.6816087779166589,93.89963715795373,7.2230490121502875,10705.216796875,823.4782151442307,21.995627256920365
14,success,150.7799041748047,1.3616414567057709,92.85056968712014,6.63218354908001,10742.26318359375,767.3045131138393,22.071745146818607
15,success,158.98889770507813,1.3264321990301118,94.34621043681152,6.289747362454102,10767.62353515625,717.8415690104167,22.123852156948104
16,success,170.0914733886719,2.4164891901838037,94.06703158740233,5.879189474212645,10744.03955078125,671.5024719238281,22.075394985142207
17,success,185.44175415039064,2.024305107853114,91.67298960197087,5.392528800115933,10762.50244140625,633.08837890625,22.11333002821311
18,success,185.6534194946289,1.844105295879489,96.95485302128115,5.386380723404509,10816.625,600.9236111111111,22.22453371961023
19,success,193.0483612060547,2.29450746937288,98.42093391158035,5.180049153241071,10779.603515625,567.3475534539474,22.148466995669793
20,success,206.82711181640624,2.2366430550090732,96.69912142733664,4.834956071366832,10805.22216796875,540.2611083984375,22.201104727204786
21,success,217.74969635009765,2.069158851881124,96.44100704616474,4.592428906960226,10813.447265625,514.9260602678571,22.218004542092366
22,success,219.60772857666015,1.829412700025588,100.17862368773734,4.553573803988061,10821.54248046875,491.8882945667614,22.234637491396093
23,success,226.69607391357422,1.681335597855119,101.45742536665428,4.411192407245838,10835.1240234375,471.0923488451087,22.26254300348266
24,success,249.20227661132813,2.297565498220881,96.30730636314347,4.012804431797645,10842.96337890625,451.79014078776044,22.27865024765126
25,success,266.5133544921875,1.6570582044231061,93.80392981670585,3.7521571926682338,10855.609375,434.224375,22.304633524930782
26,success,274.859521484375,1.796371142440916,94.59377597540504,3.6382221529001937,10879.1689453125,418.42957481971155,22.353040534032946
27,success,281.04652404785156,2.00053796528419,96.06950340863466,3.558129755875358,10882.8056640625,403.06687644675924,22.360512770380986
28,success,281.9402801513672,2.2578056854443025,99.31181165375679,3.5468504162056,10914.08935546875,389.78890555245533,22.424790255690137
29,success,287.25502319335936,2.168668340588855,100.95558879219074,3.481227199730715,10905.283203125,376.0442483836207,22.40669656845371
30,success,297.88189697265625,1.7384441741928043,100.71105463234585,3.357035154411528,10943.2158203125,364.77386067708335,22.484635364497453
31,success,303.25819091796876,2.343518879986706,102.223125140206,3.2975201658130966,10948.9404296875,353.1916267641129,22.496397515268722
32,success,332.4707794189453,2.493041102318567,96.24906001040442,3.007783125325138,10943.66845703125,341.98963928222656,22.48556538102466
33,success,337.38269958496096,2.0559583643121337,97.81177292313953,2.963993118883016,10957.60400390625,332.04860617897725,22.51419825231535
34,success,344.9003021240234,2.26069462334586,98.57921199435154,2.8993885880691628,11013.99853515625,323.94113338694854,22.630070084921847
35,success,350.75184631347656,2.7085873437068657,99.78564722570138,2.8510184921628965,10990.19580078125,314.0055943080357,22.581163455290504
36,success,358.1824890136719,2.489436280313125,100.50742597476861,2.7918729437435723,10991.14404296875,305.30955674913196,22.583111774703486
