working_set_ratio, num_stages, object_store_size,object_size,baseline_pipeline,ray_pipeline
1,1,1000000000,40000000,0.2276502383998377,0.35129943860010826
1,1,1000000000,160000000,0.122577041599925,0.18460353399996166
1,1,5000000000,40000000,1.655210356000134,1.631127720400127
1,1,5000000000,160000000,1.1157236939999167,1.1127422319999822
2,1,1000000000,40000000,0.30780087159992037,1.64752047280017
2,1,1000000000,160000000,0.2551962314000775,0.2235299209999539
2,1,5000000000,40000000,3.398235577000014,3.667496834600024
2,1,5000000000,160000000,2.228763507400072,2.5080855610000072
4,1,1000000000,40000000,0.7854587748000086,3.9475141411998265
4,1,1000000000,160000000,0.3694436882001355,2.788864231000025
4,1,5000000000,40000000,6.650842431199999,7.263350353800161
4,1,5000000000,160000000,4.528472636400056,5.095739028799926
8,1,1000000000,40000000,1.6351847332000033,6.801103649000015
8,1,1000000000,160000000,0.9077373216000524,4.9897821295999165
8,1,5000000000,40000000,13.247114234799847,14.473847325800033
8,1,5000000000,160000000,8.89322840879986,10.538023250599963
16,1,1000000000,40000000,3.41465694719991,13.7640227238001
16,1,1000000000,160000000,1.389231017399925,11.656940479600053
16,1,5000000000,40000000,26.855009811399942,29.07785332019994
16,1,5000000000,160000000,17.862073427799988,20.907093930799874
