========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
63       OK       65.99 ± 0.05 (65.88-66.05)     954.6          837.3       13.3       1.7%
64       OK       66.39 ± 0.10 (66.15-66.56)     964.0          848.4       13.3       1.7%
65       OK       67.99 ± 0.08 (67.83-68.09)     956.1          861.8       13.3       1.8%
66       OK       69.76 ± 0.10 (69.60-69.92)     946.1          872.8       13.2       1.8%
67       OK       70.03 ± 0.05 (69.88-70.07)     956.7          884.8       13.2       1.8%
68       OK       70.34 ± 0.10 (70.13-70.54)     966.7          897.6       13.2       1.8%
69       OK       72.04 ± 0.10 (71.86-72.21)     957.8          908.2       13.2       1.9%
70       OK       73.86 ± 0.09 (73.68-74.05)     947.7          920.6       13.2       1.9%
71       OK       74.02 ± 0.09 (73.93-74.20)     959.2          932.4       13.1       1.9%
72       OK       74.22 ± 0.08 (74.08-74.39)     970.1          945.5       13.1       1.9%
73       OK       75.99 ± 0.10 (75.79-76.12)     960.6          955.8       13.1       2.0%
74       OK       77.97 ± 0.16 (77.79-78.40)     949.1          966.8       13.1       2.0%
75       OK       78.41 ± 0.06 (78.33-78.57)     956.5          979.9       13.1       2.0%
76       OK       78.18 ± 0.07 (78.11-78.29)     972.1          990.2       13.0       2.0%
77       OK       80.35 ± 0.05 (80.23-80.43)     958.2         1003.3       13.0       2.1%
78       OK       82.28 ± 0.07 (82.20-82.40)     948.0         1016.5       13.0       2.1%
79       OK       82.43 ± 0.08 (82.26-82.51)     958.4         1027.4       13.0       2.1%
80       OK       82.05 ± 0.04 (81.97-82.11)     975.0         1039.1       13.0       2.1%
81       OK       84.32 ± 0.08 (84.21-84.51)     960.7         1050.4       13.0       2.2%
82       OK       85.32 ± 0.09 (85.18-85.51)     961.1         1061.1       12.9       2.2%
83       OK       86.29 ± 0.04 (86.20-86.35)     961.9         1072.9       12.9       2.2%
84       OK       85.98 ± 0.07 (85.81-86.08)     977.0         1085.9       12.9       2.2%
85       OK       88.40 ± 0.12 (88.29-88.69)     961.6         1097.2       12.9       2.3%
86       OK       89.37 ± 0.15 (89.28-89.77)     962.3         1109.2       12.9       2.3%
87       OK       90.33 ± 0.23 (90.19-90.99)     963.2         1121.7       12.9       2.3%
