batch_size,status,avg_latency_ms,std_latency_ms,throughput,throughput_efficiency,peak_memory_mb,memory_per_sample_mb,memory_utilization
1,success,4.943071985244751,0.29418642690062574,202.3033455683098,202.3033455683098,22.865234375,22.865234375,0.04698038180800189
2,success,5.005132818222046,0.2864570123423075,399.58979564311585,199.79489782155792,24.248046875,12.1240234375,0.049821597347428324
3,success,5.017491149902344,0.28401744866370937,597.908378983068,199.302792994356,24.251953125,8.083984375,0.049829623380025584
4,success,5.029475164413452,0.3379646551491678,795.3116118958882,198.82790297397204,24.599609375,6.14990234375,0.05054394028118081
5,success,5.040208005905152,0.335544515334434,992.0225502879953,198.40451005759905,26.28564453125,5.25712890625,0.05400817660096877
6,success,5.065100860595703,0.3259331699726177,1184.5766086668498,197.4294347778083,28.90966796875,4.818277994791667,0.05939966399817135
7,success,5.047168016433716,0.3706346406885747,1386.9163810691084,198.1309115813012,31.14990234375,4.449986049107143,0.06400259369269413
8,success,5.03889274597168,0.34692401898558195,1587.6503833893992,198.4562979236749,32.68896484375,4.08612060546875,0.06716485053601055
9,success,5.073196840286255,0.3777401505793767,1774.0293316693335,197.1143701854815,34.41162109375,3.823513454861111,0.07070433091139773
10,success,5.0624607563018795,0.34888452666231756,1975.3239543737195,197.53239543737195,36.13427734375,3.613427734375,0.07424381128678492
11,success,5.047203207015992,0.3363986667835615,2179.424831698707,198.1295301544279,37.85693359375,3.4415394176136362,0.07778329166217209
12,success,5.075152015686035,0.3393038037012467,2364.461195036322,197.0384329196935,39.57958984375,3.2982991536458335,0.08132277203755926
13,success,5.04615364074707,0.3264739422851779,2576.219617061716,198.17073977397814,41.30224609375,3.1770958533653846,0.08486225241294644
14,success,5.056108665466309,0.38510176856147466,2768.9278309268348,197.78055935191676,43.08154296875,3.0772530691964284,0.08851811026099374
15,success,5.050470352172852,0.37265219095487473,2970.02040484142,198.00136032276131,45.56787109375,3.037858072916667,0.09362668000914326
16,success,5.037379217147827,0.3408724103884006,3176.254816300931,198.5159260188082,46.81396484375,2.925872802734375,0.09618698440766596
17,success,5.048748922348023,0.3855005804407617,3367.1708103269684,198.06887119570402,49.15673828125,2.8915728400735294,0.10100059745786653
18,success,5.037068843841553,0.4097533745616745,3573.5068465477207,198.52815814154005,50.54638671875,2.808132595486111,0.10385585855433818
19,success,5.042675161361695,0.37072050444698645,3767.841352459703,198.30743960314226,52.41259765625,2.7585577713815788,0.10769029562767427
20,success,5.029750394821167,0.37472262147380614,3976.3404602727014,198.81702301363507,55.31005859375,2.7655029296875,0.11364360530668434
21,success,5.034880113601685,0.3776459473970368,4170.903681155919,198.61446100742472,56.14501953125,2.6735723586309526,0.11535916977434649
22,success,5.024899244308472,0.376644891376033,4378.197239460798,199.00896543003628,58.01123046875,2.636874112215909,0.1191936068476826
23,success,5.218924808502197,0.6062938768920862,4407.038009539914,191.61034824086582,62.36474609375,2.7115106997282608,0.12813862017731753
24,success,5.427631902694702,0.5295571921676251,4421.817918065615,184.24241325273397,62.93896484375,2.6224568684895835,0.12931844696911327
25,success,5.0257728099823,0.3802210658816867,4974.359356305254,198.97437425221014,64.22412109375,2.56896484375,0.13195901169360846
26,success,5.084662437438965,0.36846092787497614,5113.41712845261,196.66988955586962,65.94677734375,2.5364145132211537,0.1354984920689956
27,success,5.0802239894866945,0.37253681784489,5314.726290784686,196.8417144735069,68.66162109375,2.5430230034722223,0.14107658472408427
28,success,5.108742380142212,0.39186526713459235,5480.800932307055,195.74289043953766,69.39208984375,2.4782889229910716,0.14257745281977
29,success,5.033574390411377,0.36789844436271074,5761.313482372102,198.66598215076215,71.11474609375,2.4522326239224137,0.14611693319515714
30,success,5.089913654327392,0.4066543668774229,5894.00961143895,196.466987047965,74.48779296875,2.482926432291667,0.15304741234288238
31,success,5.098601579666138,0.4022432751717182,6080.098535965604,196.13221083760013,75.20556640625,2.4259860131048385,0.15452219583262705
32,success,5.104540777206421,0.40767037123916144,6268.928273213393,195.90400853791854,76.67333984375,2.3960418701171875,0.15753797758104368
33,success,5.064499139785767,0.4002343985714511,6515.945425038799,197.45289166784238,78.53955078125,2.379986387310606,0.16137241465437976
34,success,5.07706880569458,0.4102105419830665,6696.77747165149,196.96404328386734,81.83544921875,2.406924977022059,0.16814437965830933
35,success,5.096512079238892,0.40272146373410317,6867.4417828961305,196.21262236846087,82.27197265625,2.3506277901785713,0.169041288801052
36,success,5.128310346603394,0.4059097991206003,7019.855969489773,194.9959991524937,84.13818359375,2.3371717664930554,0.1728757258743881
37,success,5.078934383392334,0.4152627730354308,7284.99271835185,196.89169509059056,88.26611328125,2.385570629222973,0.18135723582153185
38,success,5.057823991775512,0.39091068774034354,7513.112370416902,197.71348343202374,88.40966796875,2.3265702097039473,0.18165219251948078
39,success,5.108054447174072,0.40826347774399296,7635.000840990636,195.76925233309322,89.73681640625,2.3009440104166665,0.18437903709439643
40,success,5.10862717628479,0.41451692232017734,7829.8921842814325,195.7473046070358,91.60302734375,2.29007568359375,0.18821347416773251
41,success,5.0573344230651855,0.4021812807579393,8107.037536020888,197.73262282977777,94.84033203125,2.3131788300304876,0.19486504868270332
42,success,5.079958391189575,0.39753375335582564,8267.784254462142,196.8520060586224,95.33544921875,2.2698916480654763,0.19588234831440476
